game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6477241,AUG IL,CARTH,0,1,"{'__typename': 'Location', 'venue': 'Thorson-Lucken Field', 'city': 'Rock Island', 'stateUsps': 'IL'}",2025-10-22,18:00:00
6477243,ELMHUR,CARTH,3,1,,2025-10-25,13:00:00
6477246,CARTH,NO PRK,1,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-10-29,18:00:00
6477250,ALBMAG,BKLYN,6,0,,2025-09-30,17:00:00
6477252,ALBMAG,CBYSAW,3,0,,2025-10-04,14:30:00
6477255,ALBMAG,RIVIER,1,2,,2025-10-11,11:00:00
6477257,STJOME,ALBMAG,1,1,,2025-10-18,11:30:00
6477259,MILLIK,MON IL,6,0,,2025-09-02,18:30:00
6477261,UW LAC,GRINN,4,0,,2025-09-06,14:00:00
6477263,BENILL,GRINN,0,1,,2025-09-13,11:00:00
6477266,CENTRL,GRINN,1,0,,2025-09-23,15:00:00
6477268,LAWREN,GRINN,2,0,,2025-09-27,10:00:00
6477270,GRINN,MON IL,0,0,,2025-09-30,15:00:00
6477272,GRINN,RIPON,0,0,,2025-10-04,10:00:00
6477274,CORCOL,GRINN,0,3,,2025-10-08,15:00:00
6477277,COE,GRINN,2,2,"{'__typename': 'Location', 'venue': 'Clark Field', 'city': 'Cedar Rapids', 'stateUsps': 'IA'}",2025-10-11,11:00:00
6477279,GRINN,ILLCOL,0,2,,2025-10-18,10:00:00
6477286,MON IL,LAWREN,0,3,,2025-10-11,10:00:00
6477288,MON IL,ILLCOL,1,5,,2025-10-14,14:00:00
6477290,RIPON,MON IL,0,0,,2025-10-18,10:00:00
6477292,CORCOL,MON IL,2,3,,2025-10-25,10:00:00
6477297,BRAND,RI COL,2,0,"{'__typename': 'Location', 'venue': 'Gordon Field', 'city': 'Waltham', 'stateUsps': 'MA'}",2025-09-06,11:00:00
6477299,BRAND,CLRKMA,5,0,"{'__typename': 'Location', 'venue': 'Gordon Field', 'city': 'Waltham', 'stateUsps': 'MA'}",2025-09-10,17:00:00
6477302,JOWARI,BRAND,1,4,,2025-09-17,17:00:00
6477304,TRINCT,BRAND,0,0,,2025-09-27,10:00:00
6477306,BRAND,CARMEL,1,1,"{'__typename': 'Location', 'venue': 'Gordon Field', 'city': 'Waltham', 'stateUsps': 'MA'}",2025-10-26,11:30:00
6477308,PRATT,PSU AB,3,3,,2025-09-20,12:00:00
6477311,YORKNY,PRATT,0,9,,2025-09-22,13:00:00
6477313,PRATT,CCNY,0,0,,2025-09-27,11:15:00
6477315,CENTNJ,PRATT,3,7,,2025-10-22,12:00:00
6477317,CONCMH,NWSTPL,0,1,,2025-09-05,13:00:00
6477320,BETHLU,NWSTPL,2,0,,2025-09-20,15:30:00
6477321,MNMORR,NWSTPL,0,3,,2025-10-01,15:30:00
