game_id,home_team_id,away_team_id,home_score,away_score,location,game_date,game_time
6476625,55693,55278,1,1,"{'__typename': 'Location', 'venue': 'Soccer/Lacrosse Complex', 'city': 'Erie', 'stateUsps': 'PA'}",2025-08-31,11:30:00
6476627,55278,55418,1,0,,2025-09-14,10:00:00
6476629,56020,55278,0,3,,2025-09-21,13:00:00
6476632,56059,55278,1,3,,2025-09-24,13:00:00
6476636,55882,55297,1,6,,2025-08-30,12:00:00
6476639,55902,55297,0,4,,2025-09-09,17:00:00
6476641,55297,55258,8,0,,2025-09-11,14:30:00
6476643,55297,55114,5,1,,2025-09-17,14:30:00
6476645,55654,55297,1,2,,2025-09-20,12:00:00
6476661,55322,55114,1,0,,2025-08-29,15:00:00
6476663,55749,55322,4,1,,2025-09-17,14:00:00
6476665,55322,55111,0,3,,2025-09-27,13:30:00
6476683,56031,55731,2,1,,2025-08-29,16:00:00
6476692,56031,55258,1,0,,2025-09-27,11:00:00
6476697,55114,56031,3,0,"{'__typename': 'Location', 'venue': 'Art Keller Field', 'city': 'Kenosha', 'stateUsps': 'WI'}",2025-09-13,10:00:00
6476699,56031,55557,12,0,,2025-09-16,17:00:00
6476703,55295,55126,0,0,,2025-09-20,19:00:00
6476706,55098,55295,3,0,"{'__typename': 'Location', 'venue': 'William Rolland Stadium', 'city': 'Thousand Oaks', 'stateUsps': 'CA'}",2025-09-27,19:00:00
6476726,55882,55258,2,0,,2025-09-06,10:00:00
6476728,55882,55366,2,0,,2025-09-10,17:00:00
6476730,55882,55259,3,0,,2025-09-24,16:00:00
6476732,55882,55147,6,0,,2025-09-27,12:00:00
6476741,55720,55947,2,1,,2025-09-20,13:00:00
6476743,1387951,55826,2,1,,2025-09-13,08:00:00
6476750,55195,55398,0,2,,2025-09-17,16:00:00
6476752,55195,55457,1,0,,2025-09-20,10:00:00
6476754,55771,55195,1,2,,2025-09-27,09:00:00
6476768,55687,55238,1,3,,2025-09-09,13:30:00
6476770,55860,55238,0,1,,2025-09-17,13:00:00
6476772,55238,55436,2,0,,2025-09-27,08:00:00
6476779,55947,56068,7,0,,2025-09-06,10:00:00
6476781,55947,56053,0,0,,2025-09-07,09:00:00
6476790,51536,55947,10,0,,2025-09-23,14:00:00
6476797,55440,55112,1,0,,2025-08-29,16:30:00
6476801,55170,55440,2,0,,2025-09-06,11:00:00
6476803,51536,55440,1,3,,2025-09-18,16:00:00
6476810,55250,55902,3,0,"{'__typename': 'Location', 'venue': 'Van Andel Soccer Stadium', 'city': 'Holland', 'stateUsps': 'MI'}",2025-08-29,13:00:00
6476812,55126,55902,1,1,,2025-09-05,19:00:00
6476815,55131,55902,4,2,,2025-09-07,00:00:00
6476817,55902,55523,3,1,,2025-09-24,17:00:00
6476821,55581,55902,0,3,"{'__typename': 'Location', 'venue': 'West Campus Field', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-09-17,14:00:00
6476824,55143,55902,0,2,"{'__typename': 'Location', 'venue': 'Concordia Stadium', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-09-21,11:00:00
6476837,1371476,56043,3,1,,2025-09-06,16:00:00
6476850,1371497,55279,0,2,,2025-09-02,13:30:00
6476855,51572,55860,0,7,,2025-09-02,13:00:00
6476857,55217,55860,2,2,"{'__typename': 'Location', 'venue': 'University Stadium', 'city': 'Fredonia', 'stateUsps': 'NY'}",2025-09-05,12:00:00
6476859,55860,55687,0,1,"{'__typename': 'Location', 'venue': 'University Stadium', 'city': 'Fredonia', 'stateUsps': 'NY'}",2025-09-06,09:30:00
6476866,55860,51283,3,1,,2025-09-20,10:00:00
6476870,55893,50925,5,0,,2025-09-22,15:00:00
6476877,55893,55484,1,0,,2025-09-30,15:00:00
6476881,55899,55893,2,2,"{'__typename': 'Location', 'venue': 'Joanne Merrill Field', 'city': 'Nashua', 'stateUsps': 'NH'}",2025-09-02,15:00:00
6476886,55650,55720,2,1,,2025-09-10,13:00:00
6476888,55335,55720,1,0,,2025-09-01,13:30:00
6476893,55119,55523,1,0,,2025-08-29,15:00:00
6476895,55235,55523,0,1,,2025-08-30,14:00:00
6476897,55523,55147,2,0,,2025-09-03,14:30:00
6476899,55113,55523,0,0,,2025-09-06,17:00:00
6476901,55523,55470,0,4,,2025-09-14,13:00:00
6476903,55523,55549,6,0,,2025-09-17,17:00:00
6476906,55172,55230,0,5,,2025-09-20,09:00:00
6476908,55523,51826,0,4,,2025-09-27,11:00:00
6476924,55131,55126,2,1,,2025-09-13,11:00:00
6476926,1371475,55126,0,2,,2025-09-17,16:00:00
6476928,55126,55098,1,3,,2025-09-24,16:00:00
6476930,55459,55126,0,0,,2025-09-27,19:00:00
6476944,55119,55468,2,1,,2025-08-31,11:00:00
6476946,55734,55468,2,1,"{'__typename': 'Location', 'venue': 'Joe Bean Stadium', 'city': 'Wheaton', 'stateUsps': 'IL'}",2025-09-06,14:00:00
6476948,55468,55749,0,2,"{'__typename': 'Location', 'venue': 'Simpson Field', 'city': 'Eau Claire', 'stateUsps': 'WI'}",2025-09-23,17:30:00
6476964,56003,56053,4,1,,2025-08-31,16:00:00
6476966,1387951,56053,2,4,,2025-09-05,14:30:00
6476968,56053,56068,1,0,,2025-09-17,14:00:00
6476971,56053,55547,0,4,,2025-09-22,14:00:00
6476973,56068,56053,0,2,,2025-09-24,15:00:00
6476980,55554,55521,2,2,,2025-08-31,10:00:00
6476982,55767,55943,4,0,,2025-09-10,12:00:00
6476984,55237,55767,1,1,"{'__typename': 'Location', 'venue': 'Gustie Soccer Field', 'city': 'Saint Peter', 'stateUsps': 'MN'}",2025-09-20,13:30:00
6476993,56003,55547,1,0,,2025-09-10,16:00:00
6476995,56003,55542,6,0,,2025-09-14,12:30:00
6477002,55344,55786,0,3,,2025-09-03,16:00:00
6477004,55896,55490,0,2,,2025-09-06,09:00:00
6477008,55755,55786,1,0,,2025-09-17,16:00:00
6477011,55170,55490,2,0,,2025-09-17,15:00:00
6477013,56011,55786,3,1,,2025-09-20,12:30:00
6477017,55588,55521,0,3,,2025-09-13,11:00:00
6477024,55521,55911,4,0,,2025-09-20,12:00:00
6477026,55118,55521,0,4,,2025-09-23,17:00:00
6477037,1387951,55547,0,0,,2025-09-04,13:00:00
6477047,55806,55899,5,4,,2025-08-29,16:00:00
6477051,55436,55806,5,2,,2025-09-16,17:00:00
6477054,55806,55725,1,2,,2025-09-27,10:00:00
6477056,55143,55193,0,4,"{'__typename': 'Location', 'venue': 'Concordia Stadium', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-08-29,13:00:00
6477059,55143,55477,0,2,"{'__typename': 'Location', 'venue': 'Concordia Stadium', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-08-31,12:00:00
6477061,55143,55114,0,2,"{'__typename': 'Location', 'venue': 'Concordia Stadium', 'city': 'River Forest', 'stateUsps': 'IL'}",2025-09-03,11:00:00
